severity,nx,dx,elapsed_time_s,requested_time_s,terminal_time_error_s,max_abs_q,max_abs_area_drift,mass_defect,realized_cfl_max,lambda_minus_min,lambda_plus_max,subcritical_margin_min,positivity_projection_count,positivity_correction_total,status,error_message
23.0,100,0.06,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,ok,
23.0,100,0.06,0.001,0.001,0.0,0.7286855640030035,0.000699945409450467,0.0007292829158219161,0.17721081612313214,-1037.3993446176526,1063.2648967389975,894.0483207411327,0,0.0,ok,
23.0,100,0.06,0.00999999999999976,0.01,2.393918396847994e-16,1.4924456850029764,0.0007757712619344409,0.001592473015007867,0.18190239529508367,-1037.3993446176526,1091.414371770502,814.1968537444911,0,0.0,ok,
23.0,100,0.06,0.09999999999999393,0.1,6.078471059822732e-15,0.8474067944718828,0.00040636968650413843,0.0010912393000419018,0.182320406474087,-1037.3993446176526,1093.9224388445218,804.4836063281874,0,0.0,ok,
23.0,100,0.06,1.0,1.0,0.0,0.8693035274931032,0.00016829607474441385,0.00016027260963491496,0.182320406474087,-1037.3993446176526,1093.9224388445218,804.4836063281874,0,0.0,ok,
23.0,200,0.03,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,ok,
23.0,200,0.03,0.001,0.001,0.0,0.7288446516264928,0.0007001513536011375,0.0007291419005115152,0.35442429108078893,-1029.6909874668577,1063.2728732425714,900.065159575803,0,0.0,ok,
23.0,200,0.03,0.00999999999999976,0.01,2.393918396847994e-16,1.5340124960614492,0.0007558620535609711,0.0015878868192689133,0.3639527917882908,-1029.7863462141897,1091.8583753648722,814.860974635425,0,0.0,ok,
23.0,200,0.03,0.09999999999999393,0.1,6.078471059822732e-15,0.7431040218710092,0.0004248689246641804,0.0012151524917348167,0.3652577947494893,-1037.1052768812517,1095.7733842484677,802.1044680032822,0,0.0,ok,
23.0,200,0.03,1.0,1.0,0.0,0.7648205898078592,6.891528752868414e-5,0.0001437364918722983,0.3652577947494893,-1037.1052768812517,1095.7733842484677,802.1044680032822,0,0.0,ok,
23.0,400,0.015,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,ok,
23.0,400,0.015,0.001,0.001,0.0,0.7289252870688759,0.0007002762052869191,0.0007290712822477785,0.45000000000000007,-1028.4995232425658,1063.2771838766946,901.4544276770755,0,0.0,ok,
23.0,400,0.015,0.01,0.01,0.0,1.5589690589124159,0.0007421956121573467,0.0015766780663648283,0.45000000000000007,-1028.6995175376294,1092.9202922824875,814.1122662694423,0,0.0,ok,
23.0,400,0.015,0.1,0.1,0.0,0.7657000618682751,0.00046152373747782027,0.0012422589595065536,0.45000000000000007,-1037.8540747343457,1097.1925006539634,800.871256214665,0,0.0,ok,
23.0,400,0.015,1.0,1.0,0.0,0.7380141307382125,5.021999374922592e-5,0.00013242595515677857,0.45000000000000007,-1037.8540747343457,1097.1925006539634,800.871256214665,0,0.0,ok,
23.0,800,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,ok,
23.0,800,0.0075,0.001,0.001,0.0,0.7289619664451416,0.0007003468819062053,0.0007290356421241206,0.45000000000000007,-1028.350389334427,1063.2791503956757,902.0480766201164,0,0.0,ok,
23.0,800,0.0075,0.01,0.01,0.0,1.5664711777700278,0.0007400582019782137,0.0015743532490500867,0.45000000000000007,-1028.4158714069226,1093.3012429829469,814.0377871496992,0,0.0,ok,
23.0,800,0.0075,0.1,0.1,0.0,0.7852057954528936,0.0004824267058977441,0.0012494221079336898,0.45000000000000007,-1038.0460382576628,1097.903247663948,800.3955636269064,0,0.0,ok,
23.0,800,0.0075,1.0,1.0,0.0,0.7312614091313187,4.902025205692773e-5,0.00012936478946484753,0.45000000000000007,-1038.0460382576628,1097.903247663948,800.3955636269064,0,0.0,ok,
40.0,100,0.06,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,ok,
40.0,100,0.06,0.001,0.001,0.0,0.8533811798322629,0.0006999453188763702,0.0007292829158246361,0.17721081630081414,-1043.8686088520415,1063.2648978050895,777.304172538005,0,0.0,ok,
40.0,100,0.06,0.00999999999999976,0.01,2.393918396847994e-16,1.5243199122174111,0.0009093827062490109,0.0020569395913575816,0.1820928093453884,-1043.8686088520415,1092.5568560723304,666.9436834563561,0,0.0,ok,
40.0,100,0.06,0.09999999999999393,0.1,6.078471059822732e-15,0.8869373577573677,0.0003436893031456313,0.0006292349595967972,0.18279371074293035,-1043.8686088520415,1096.762264457582,640.3798978635676,0,0.0,ok,
40.0,100,0.06,1.0,1.0,0.0,0.9366080361097392,0.00033670071781149655,0.00033877585741509675,0.18279371074293035,-1043.8686088520415,1096.762264457582,640.3798978635676,0,0.0,ok,
40.0,200,0.03,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,ok,
40.0,200,0.03,0.001,0.001,0.0,0.7288446516264795,0.0007001513536011375,0.0007291419005114874,0.3544242910807887,-1030.3154827610656,1063.2728732425708,791.5987988266401,0,0.0,ok,
40.0,200,0.03,0.00999999999999976,0.01,2.393918396847994e-16,1.5761229411713786,0.0008382141525541745,0.001995908051997869,0.3648116690960858,-1030.7131156419255,1094.4350072882573,666.7231280047012,0,0.0,ok,
40.0,200,0.03,0.09999999999999393,0.1,6.078471059822732e-15,0.7280538264372254,0.0003155383935018602,0.0008580822843846647,0.36689424776430213,-1037.5259579463523,1100.6827432929063,629.8526630311371,0,0.0,ok,
40.0,200,0.03,1.0,1.0,0.0,0.7825753759195376,0.00011481782654446798,0.00022396961479650979,0.36689424776430213,-1037.5259579463523,1100.6827432929063,629.8526630311371,0,0.0,ok,
40.0,400,0.015,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,ok,
40.0,400,0.015,0.001,0.001,0.0,0.7289252870688759,0.0007002762052869191,0.000729071282247723,0.45000000000000007,-1028.6150581206991,1063.2771838766946,794.6902675936835,0,0.0,ok,
40.0,400,0.015,0.01,0.01,0.0,1.6397924856782715,0.0007984090197812738,0.0019442063273131804,0.45000000000000007,-1028.9094672428416,1096.432752549223,664.287146169004,0,0.0,ok,
40.0,400,0.015,0.1,0.1,0.0,0.7283280541371178,0.0003706196707713022,0.0009607469028530546,0.45000000000000007,-1040.2813178610832,1101.8366907102923,626.1244207745588,0,0.0,ok,
40.0,400,0.015,1.0,1.0,0.0,0.7425230375880046,7.546044284607173e-5,0.00017311195715605243,0.45000000000000007,-1040.2813178610832,1101.8366907102923,626.1244207745588,0,0.0,ok,
40.0,800,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,0.0,ok,
40.0,800,0.0075,0.001,0.001,0.0,0.7289619664451416,0.0007003468819062053,0.0007290356421241206,0.45000000000000007,-1028.37891941968,1063.2791503956757,795.9013119219277,0,0.0,ok,
40.0,800,0.0075,0.01,0.01,0.0,1.657930565457769,0.0007940554307882472,0.0019248512358266967,0.45000000000000007,-1028.473615101284,1097.1775705048565,662.2335302420344,0,0.0,ok,
40.0,800,0.0075,0.1,0.1,0.0,0.7285582507723315,0.0003996522870500993,0.0009890960747308553,0.45000000000000007,-1041.5808622556967,1102.2363056613335,624.9248002716224,0,0.0,ok,
40.0,800,0.0075,1.0,1.0,0.0,0.7323993250829245,6.832014328093938e-5,0.00015660989344901122,0.45000000000000007,-1041.5808622556967,1102.2363056613335,624.9248002716224,0,0.0,ok,
