method,method_label,severity,case,nx,final_requested_time_s,initial_total_flow_residual_max_abs,peak_time_s,peak_max_abs_q,final_max_abs_q,final_rms_q,max_positivity_projection_count,status,error_message,residual_status,residual_error_message,source_csv
fv-first-order,FV first-order,22.555555555555554,C23,400,0.10000000000000001,515.81697419297416,0.001,0.59308615312403445,0.52770955327460622,0.094865307820669181,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-first-order/rest_state_drift.csv
fv-first-order,FV first-order,40.0,C40,400,0.10000000000000001,917.04584053759754,0.001,1.0116533051811114,0.85999551728875945,0.14957362125780468,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-first-order/rest_state_drift.csv
fv-first-order,FV first-order,50.0,C50,400,0.10000000000000001,1167.141634324842,0.001,1.2240243222308347,1.0281689823759059,0.1760131929802643,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-first-order/rest_state_drift.csv
fv-muscl,FV MUSCL,22.555555555555554,C23,400,0.10000000000000001,612.5154764514009,0.001,0.043049882997699684,0.039153796095763131,0.0062427255000680896,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-muscl/rest_state_drift.csv
fv-muscl,FV MUSCL,40.0,C40,400,0.10000000000000001,1437.2379632242373,0.001,0.070529146420253166,0.061723804374118361,0.0088708713246785104,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-muscl/rest_state_drift.csv
fv-muscl,FV MUSCL,50.0,C50,400,0.10000000000000001,1397.2533647101955,0.001,0.081932957033830481,0.077362073047401989,0.01151438283133914,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-muscl/rest_state_drift.csv
fv-weno3,FV WENO3,22.555555555555554,C23,400,0.10000000000000001,30.285284853824123,0.10000000000000001,0.0038802726983047414,0.0038802726983047414,0.00054247329320560608,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-weno3/rest_state_drift.csv
fv-weno3,FV WENO3,40.0,C40,400,0.10000000000000001,89.183403228831594,0.001,0.0084443895720740045,0.0082417347653954334,0.0011088340498917031,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-weno3/rest_state_drift.csv
fv-weno3,FV WENO3,50.0,C50,400,0.10000000000000001,136.67539186151407,0.001,0.01186408448475277,0.011847208544726283,0.0014578346775315869,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-weno3/rest_state_drift.csv
fv-lax-wendroff,FV Lax--Wendroff,22.555555555555554,C23,400,0.10000000000000001,612.62376269139349,0.001,0.019483558843249784,0.018042913027995017,0.0027615496101892445,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-lax-wendroff/rest_state_drift.csv
fv-lax-wendroff,FV Lax--Wendroff,40.0,C40,400,0.10000000000000001,1437.3084826787817,0.001,0.031843088515993628,0.028434503029652808,0.0038840286661863651,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-lax-wendroff/rest_state_drift.csv
fv-lax-wendroff,FV Lax--Wendroff,50.0,C50,400,0.10000000000000001,1397.201399813639,0.001,0.037031780026970371,0.033843278680161841,0.0053788513985706362,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-lax-wendroff/rest_state_drift.csv
fv-wb-geometry-rest,FV geometry-rest balanced,22.555555555555554,C23,400,0.10000000000000001,0,0.10000000000000001,4.045639712443491e-14,4.045639712443491e-14,1.3512580668978528e-14,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-wb-geometry-rest/rest_state_drift.csv
fv-wb-geometry-rest,FV geometry-rest balanced,40.0,C40,400,0.10000000000000001,0,0.01,3.466194670507485e-14,2.802255729405996e-14,1.3437728413086194e-14,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-wb-geometry-rest/rest_state_drift.csv
fv-wb-geometry-rest,FV geometry-rest balanced,50.0,C50,400,0.10000000000000001,0,0.10000000000000001,4.0853902231510445e-14,4.0853902231510445e-14,1.3483614152897367e-14,0,ok,,ok,,tmp/simulations/output/additional-evidence/rest-fv-wb-geometry-rest/rest_state_drift.csv
