study_kind,nx,dx,dt,tfinal,area_l1_error,area_l2_error,area_linf_error,area_l1_observed_order,area_l2_observed_order,area_linf_observed_order,flow_l1_error,flow_l2_error,flow_linf_error,flow_l1_observed_order,flow_l2_observed_order,flow_linf_observed_order,accepted_dt_min,accepted_dt_max,realized_cfl_max,independent_mass_forcing_max_abs_diff,independent_momentum_forcing_max_abs_diff,status,error_message
spatial,50,0.12,2.5e-6,0.002,7.411569470915092e-7,1.017865726049096e-6,2.3768402111906672e-6,1.9672383897811432,1.7520360782859,1.3657828970502897,0.0011633177223377739,0.0034473149520325447,0.01699912945546763,1.8098080995243333,1.497195759066201,1.0010448775914935,2.5e-6,2.5e-6,0.021542830362362493,0.0,0.0,ok,
spatial,100,0.06,2.5e-6,0.002,1.8954503802168232e-7,3.021865133911024e-7,9.222706045738938e-7,1.9616252549642104,1.719417007910694,1.332974876131262,0.00033181179501887105,0.001221181257453727,0.008493411113009488,1.883081588998854,1.502497762956933,1.002011805979597,2.5e-6,2.5e-6,0.043085145598484434,0.0,0.0,ok,
spatial,200,0.03,2.5e-6,0.002,4.8663616146332745e-8,9.176540451953865e-8,3.660942817784729e-7,1.966413795615904,1.695510214369118,1.3293144599411149,8.995551150691349e-5,0.0004310059197399595,0.004240787747636574,1.9248905504753084,1.5034331070254967,1.0011105134193181,2.5e-6,2.5e-6,0.08617003931906599,0.0,0.0,ok,
spatial,400,0.015,2.5e-6,0.002,1.2452450998765714e-8,2.833215120603264e-8,1.4568989132462962e-7,1.9679370111040393,1.678229139086563,1.298567152957072,2.3690704916068827e-5,0.00015202141599260173,0.0021187623302538687,1.9519676642160817,1.5034645255459884,1.0006003772517047,2.5e-6,2.5e-6,0.17233995456419457,0.0,0.0,ok,
spatial,800,0.0075,2.5e-6,0.002,3.1830742661109744e-9,8.852832361989087e-9,5.92272754590395e-8,1.9737490786408616,1.6659594940451692,1.2974636239421429,6.123181966543648e-6,5.361877082104859e-5,0.0010589403955871325,1.967256720819349,1.5031237298475204,1.0003112689205527,2.5e-6,2.5e-6,0.3446798475049428,0.0,0.0,ok,
spatial,1600,0.00375,2.5e-6,0.002,8.10380710435793e-10,2.7898346322897565e-9,2.4096073865387257e-8,1.9773577106331122,1.6574808922682596,1.2860650801725293,1.5659355503091987e-6,1.8916096632584336e-5,0.0005293559741811659,1.9770293328334783,1.5026898638304211,1.000158444037985,5.367587407210592e-7,1.6329555671886257e-6,0.45000000000000007,0.0,0.0,ok,
spatial,3200,0.001875,2.5e-6,0.002,2.057998774759699e-10,8.843557326313174e-10,9.881027780711538e-9,NaN,NaN,NaN,3.97767002161098e-7,6.675392412240627e-6,0.000264648920416692,NaN,NaN,NaN,5.369617136485871e-7,8.164777821477236e-7,0.45000000000000007,0.0,0.0,ok,
temporal,3200,0.001875,2.0e-5,0.002,2.057998774759699e-10,8.843557326313174e-10,9.881027780711538e-9,NaN,NaN,NaN,3.97767002161098e-7,6.675392412240627e-6,0.000264648920416692,NaN,NaN,NaN,5.369617136485871e-7,8.164777821477236e-7,0.45000000000000007,0.0,0.0,ok,
temporal,3200,0.001875,1.0e-5,0.002,2.057998774759699e-10,8.843557326313174e-10,9.881027780711538e-9,NaN,NaN,NaN,3.97767002161098e-7,6.675392412240627e-6,0.000264648920416692,NaN,NaN,NaN,5.369617136485871e-7,8.164777821477236e-7,0.45000000000000007,0.0,0.0,ok,
temporal,3200,0.001875,5.0e-6,0.002,2.057998774759699e-10,8.843557326313174e-10,9.881027780711538e-9,NaN,NaN,NaN,3.97767002161098e-7,6.675392412240627e-6,0.000264648920416692,NaN,NaN,NaN,5.369617136485871e-7,8.164777821477236e-7,0.45000000000000007,0.0,0.0,ok,
temporal,3200,0.001875,2.5e-6,0.002,2.057998774759699e-10,8.843557326313174e-10,9.881027780711538e-9,NaN,NaN,NaN,3.97767002161098e-7,6.675392412240627e-6,0.000264648920416692,NaN,NaN,NaN,5.369617136485871e-7,8.164777821477236e-7,0.45000000000000007,0.0,0.0,ok,
