severity,nx,dx,mass_flux_rusanov_max_abs,mass_flux_rusanov_z_cm,elastic_flux_difference_max_abs,elastic_flux_difference_z_cm,wall_geometry_source_max_abs,wall_geometry_source_z_cm,total_flow_residual_max_abs,total_flow_residual_z_cm,total_area_residual_max_abs,status,error_message
22.555555555555554,100,0.06,0.0,0.03,71466.76420327368,2.13,71466.76420327368,2.13,0.0,0.03,0.0,ok,
22.555555555555554,200,0.03,0.0,0.015,70037.53974039707,2.145,70037.53974039707,2.145,0.0,0.015,0.0,ok,
22.555555555555554,400,0.015,0.0,0.0075,67985.38892340439,2.1374999999999997,67985.38892340439,2.1374999999999997,0.0,0.0075,0.0,ok,
22.555555555555554,800,0.0075,0.0,0.00375,67429.75461221213,2.14125,67429.75461221213,2.14125,0.0,0.00375,0.0,ok,
22.555555555555554,1600,0.00375,0.0,0.001875,67374.95766692834,2.135625,67374.95766692834,2.135625,0.0,0.001875,0.0,ok,
22.555555555555554,3200,0.001875,0.0,0.0009375,67375.92600627299,2.1365625,67375.92600627299,2.1365625,0.0,0.0009375,0.0,ok,
40.0,100,0.06,0.0,0.03,112591.06020346897,2.13,112591.06020346897,2.13,0.0,0.03,0.0,ok,
40.0,200,0.03,0.0,0.015,104148.52295358045,2.145,104148.52295358045,2.145,0.0,0.015,0.0,ok,
40.0,400,0.015,0.0,0.0075,104335.12091221771,2.1225,104335.12091221771,2.1225,0.0,0.0075,0.0,ok,
40.0,800,0.0075,0.0,0.00375,104272.17706733354,2.1262499999999998,104272.17706733354,2.1262499999999998,0.0,0.00375,0.0,ok,
40.0,1600,0.00375,0.0,0.001875,104166.074095355,2.128125,104166.074095355,2.128125,2.0679515313825692e-25,1.7606249999999999,0.0,ok,
40.0,3200,0.001875,0.0,0.0009375,104172.70632870495,2.1271875,104172.70632870495,2.1271875,4.1359030627651384e-25,1.7634375,0.0,ok,
